 id |                                                                                                                                                                                                   description                                                                                                                                                                                                    |                                                                                                                                                                                                            content_markdown                                                                                                                                                                                                            |                                                                                                                sample_answer                                                                                                                 
----+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1 | '\n変数 sysin には辞書が渡されます。\nこの辞書をそのまま標準出力（print）してください。\n\n※ 対象コードの generator_health 関数では、{"status": "ok"} という辞書をそのまま返していました。\nここでは、与えられた sysin をそのまま print する処理を実装してください。\n'                                                                                                                                          | '\n変数 sysin には辞書が渡されます。\nこの辞書をそのまま標準出力（print）してください。\n\n※ 対象コードの generator_health 関数では、{"status": "ok"} という辞書をそのまま返していました。\nここでは、与えられた sysin をそのまま print する処理を実装してください。\n'                                                                                                                                                               +| '\n# sysin に渡された辞書をそのまま出力する\nprint(sysin)\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '{"key": value, ...} （任意の辞書）'                                                                                                                                                                                                                                                                                                                                                                                                  +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\n# sysin に渡された辞書をそのまま出力する\nprint(sysin)\n'                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: {'status': 'ok'}, expected: {'status': 'ok'}- sysin: {'a': 1, 'b': 2}, expected: {'a': 1, 'b': 2}- sysin: {}, expected: {}                                                                                                                                                                                                                                                                                                    | 
  2 | '\n変数 sysin には任意の値が渡されます（今回の処理では使用しません）。\n常に {"status": "ok"} という辞書を作成し、それを標準出力（print）してください。\n\n※ 対象コードの generator_health 関数が、引数に依存せず常に {"status": "ok"} を返していた処理を再現します。\n'                                                                                                                                         | '\n変数 sysin には任意の値が渡されます（今回の処理では使用しません）。\n常に {"status": "ok"} という辞書を作成し、それを標準出力（print）してください。\n\n※ 対象コードの generator_health 関数が、引数に依存せず常に {"status": "ok"} を返していた処理を再現します。\n'                                                                                                                                                              +| '\n# sysin は使用せず、常に同じ辞書を出力する\nresult = {"status": "ok"}\nprint(result)\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '任意のオブジェクト（この問題では使用しない）'                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\n# sysin は使用せず、常に同じ辞書を出力する\nresult = {"status": "ok"}\nprint(result)\n'                                                                                                                                                                                                                                                                                                                                            +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: None, expected: {'status': 'ok'}- sysin: 123, expected: {'status': 'ok'}- sysin: {'anything': 'here'}, expected: {'status': 'ok'}                                                                                                                                                                                                                                                                                             | 
  3 | '\n変数 sysin には「非同期関数からの戻り値」を模したオブジェクトが渡されます。\nこの sysin を「非同期処理から返ってきた結果」とみなし、そのまま標準出力（print）してください。\n\n※ 対象コードの generate_quiz_endpoint 関数では、\n   return await generate_quiz_set(payload)\nのように、非同期処理の戻り値をそのまま返していました。\nここでは await や async は使わず、単純に sysin をそのまま出力します。\n' | '\n変数 sysin には「非同期関数からの戻り値」を模したオブジェクトが渡されます。\nこの sysin を「非同期処理から返ってきた結果」とみなし、そのまま標準出力（print）してください。\n\n※ 対象コードの generate_quiz_endpoint 関数では、\n   return await generate_quiz_set(payload)\nのように、非同期処理の戻り値をそのまま返していました。\nここでは await や async は使わず、単純に sysin をそのまま出力します。\n'                      +| '\n# 非同期処理の結果が sysin に入っているとみなし、そのまま出力する\nprint(sysin)\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '任意のオブジェクト（非同期関数の戻り値を模したもの）'                                                                                                                                                                                                                                                                                                                                                                                +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\n# 非同期処理の結果が sysin に入っているとみなし、そのまま出力する\nprint(sysin)\n'                                                                                                                                                                                                                                                                                                                                                 +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: {'quizzes': [], 'count': 0}, expected: {'quizzes': [], 'count': 0}- sysin: {'message': 'done'}, expected: {'message': 'done'}- sysin: [1, 2, 3], expected: [1, 2, 3]                                                                                                                                                                                                                                                          | 
  4 | '\n変数 sysin には辞書が渡されます。\nこの sysin を payload という変数に代入し、その payload をさらに result という変数に代入してから、\n最後に result を標準出力（print）してください。\n\n※ 対象コードでは、エンドポイントの引数 payload をそのまま generate_quiz_set に渡し、\n   その戻り値をそのまま返していました。\n   ここでは「受け取った値を別の変数に代入して返す」という流れを再現します。\n'        | '\n変数 sysin には辞書が渡されます。\nこの sysin を payload という変数に代入し、その payload をさらに result という変数に代入してから、\n最後に result を標準出力（print）してください。\n\n※ 対象コードでは、エンドポイントの引数 payload をそのまま generate_quiz_set に渡し、\n   その戻り値をそのまま返していました。\n   ここでは「受け取った値を別の変数に代入して返す」という流れを再現します。\n'                             +| '\n# 受け取った sysin を payload に代入し、さらに result に代入してから出力する\npayload = sysin\nresult = payload\nprint(result)\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '{"key": value, ...} （任意の辞書）'                                                                                                                                                                                                                                                                                                                                                                                                  +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\n# 受け取った sysin を payload に代入し、さらに result に代入してから出力する\npayload = sysin\nresult = payload\nprint(result)\n'                                                                                                                                                                                                                                                                                                  +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: {'user': 'alice'}, expected: {'user': 'alice'}- sysin: {'items': [1, 2, 3]}, expected: {'items': [1, 2, 3]}- sysin: {}, expected: {}                                                                                                                                                                                                                                                                                          | 
  5 | '\n変数 sysin には任意の値が渡されます（この問題では使用しません）。\n常に ["generator"] というリストを作成し、それを標準出力（print）してください。\n\n※ 対象コードのデコレータ @router.get(..., tags=["generator"]) や\n   @router.post(..., tags=["generator"]) では、"generator" というタグが固定で付与されていました。\n   ここでは、そのような固定タグ情報のリストを出力する処理を再現します。\n'          | '\n変数 sysin には任意の値が渡されます（この問題では使用しません）。\n常に ["generator"] というリストを作成し、それを標準出力（print）してください。\n\n※ 対象コードのデコレータ @router.get(..., tags=["generator"]) や\n   @router.post(..., tags=["generator"]) では、"generator" というタグが固定で付与されていました。\n   ここでは、そのような固定タグ情報のリストを出力する処理を再現します。\n'                               +| '\n# sysin は使用せず、固定のタグリストを出力する\ntags = ["generator"]\nprint(tags)\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '任意のオブジェクト（この問題では使用しない）'                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\n# sysin は使用せず、固定のタグリストを出力する\ntags = ["generator"]\nprint(tags)\n'                                                                                                                                                                                                                                                                                                                                               +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: None, expected: ['generator']- sysin: 'ignored', expected: ['generator']- sysin: {'any': 'thing'}, expected: ['generator']                                                                                                                                                                                                                                                                                                    | 
  6 | '\n変数 sysin に、Pydantic の Field で指定された制約情報を表す辞書が渡されます。\nこの辞書は、ある整数フィールドに設定された「0 より大きい (gt)」という制約を表しており、\nキー "gt" にその閾値が入っています。\n\nsysin から "gt" キーの値を取り出し、その値を標準出力に print してください。\n'                                                                                                                | '\n変数 sysin に、Pydantic の Field で指定された制約情報を表す辞書が渡されます。\nこの辞書は、ある整数フィールドに設定された「0 より大きい (gt)」という制約を表しており、\nキー "gt" にその閾値が入っています。\n\nsysin から "gt" キーの値を取り出し、その値を標準出力に print してください。\n'                                                                                                                                     +| '\nvalue = sysin["gt"]\nprint(value)\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '{"gt": 0} のような辞書（整数フィールドの制約情報）'                                                                                                                                                                                                                                                                                                                                                                                  +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\nvalue = sysin["gt"]\nprint(value)\n'                                                                                                                                                                                                                                                                                                                                                                                               +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: {'gt': 0}, expected: 0- sysin: {'gt': 10, 'description': 'must be greater than 10'}, expected: 10- sysin: {'gt': 1}, expected: 1                                                                                                                                                                                                                                                                                              | 
  7 | '\n変数 sysin には、複数の整数フィールドに関する制約情報が辞書として渡されます。\n各キーはフィールド名、各値はそのフィールドの制約を表す辞書です。\n各制約辞書には "ge" キーが含まれている場合があり、0 以上であることを表します。\n\nsysin の中から、"ge" キーの値が 0 であるフィールド名だけをリストに集め、\nフィールド名をソートして、そのリストを標準出力に print してください。\n'                         | '\n変数 sysin には、複数の整数フィールドに関する制約情報が辞書として渡されます。\n各キーはフィールド名、各値はそのフィールドの制約を表す辞書です。\n各制約辞書には "ge" キーが含まれている場合があり、0 以上であることを表します。\n\nsysin の中から、"ge" キーの値が 0 であるフィールド名だけをリストに集め、\nフィールド名をソートして、そのリストを標準出力に print してください。\n'                                              +| '\nresult = []\nfor name, cfg in sysin.items():\n    if "ge" in cfg and cfg["ge"] == 0:\n        result.append(name)\nresult.sort()\nprint(result)\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '{"field_name": {"ge": 0, ...}, ...} という形式の辞書'                                                                                                                                                                                                                                                                                                                                                                                +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\nresult = []\nfor name, cfg in sysin.items():\n    if "ge" in cfg and cfg["ge"] == 0:\n        result.append(name)\nresult.sort()\nprint(result)\n'                                                                                                                                                                                                                                                                                 +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: {'progress_value': {'ge': 0}, 'work_time': {'ge': 0}, 'task_id': {'gt': 0}}, expected: ['progress_value', 'work_time']- sysin: {'a': {'ge': 0}, 'b': {'ge': 1}, 'c': {'gt': 0}}, expected: ['a']- sysin: {'x': {'gt': 0}, 'y': {'gt': 5}}, expected: []                                                                                                                                                                       | 
  8 | '\n変数 sysin には、あるモデルのフィールド定義情報が辞書として渡されます。\nキーはフィールド名、値はそのフィールドの設定を表した辞書です。\n各設定辞書には、"required" というキーがあり、True の場合は必須フィールド、False の場合は任意フィールドです。\n\n"required" が True のフィールド名だけをリストに集め、ソートしたリストを標準出力に print してください。\n'                                            | '\n変数 sysin には、あるモデルのフィールド定義情報が辞書として渡されます。\nキーはフィールド名、値はそのフィールドの設定を表した辞書です。\n各設定辞書には、"required" というキーがあり、True の場合は必須フィールド、False の場合は任意フィールドです。\n\n"required" が True のフィールド名だけをリストに集め、ソートしたリストを標準出力に print してください。\n'                                                                 +| '\nrequired_fields = []\nfor name, info in sysin.items():\n    if info.get("required") is True:\n        required_fields.append(name)\nrequired_fields.sort()\nprint(required_fields)\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '{"field_name": {"required": True/False, ...}, ...} という形式の辞書'                                                                                                                                                                                                                                                                                                                                                                 +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\nrequired_fields = []\nfor name, info in sysin.items():\n    if info.get("required") is True:\n        required_fields.append(name)\nrequired_fields.sort()\nprint(required_fields)\n'                                                                                                                                                                                                                                              +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: {'task_id': {'required': True}, 'start_at': {'required': True}, 'end_at': {'required': True}, 'note': {'required': False}}, expected: ['end_at', 'start_at', 'task_id']- sysin: {'progress_value': {'required': True}, 'work_time': {'required': True}, 'note': {'required': False}}, expected: ['progress_value', 'work_time']- sysin: {'note': {'required': False}, 'last_updated_user': {'required': False}}, expected: [] | 
  9 | '\n変数 sysin には、あるモデルのフィールドごとの型情報が辞書として渡されます。\nキーはフィールド名、値はその型名を表す文字列です。\n値が "Optional" で始まる型名 (例: "Optional[int]", "Optional[str]") は任意フィールドを表します。\n\nsysin の中から、型名が "Optional" で始まるフィールド名のみを取り出し、\nソートしたリストとして標準出力に print してください。\n'                                         | '\n変数 sysin には、あるモデルのフィールドごとの型情報が辞書として渡されます。\nキーはフィールド名、値はその型名を表す文字列です。\n値が "Optional" で始まる型名 (例: "Optional[int]", "Optional[str]") は任意フィールドを表します。\n\nsysin の中から、型名が "Optional" で始まるフィールド名のみを取り出し、\nソートしたリストとして標準出力に print してください。\n'                                                              +| '\noptional_fields = []\nfor name, type_str in sysin.items():\n    if isinstance(type_str, str) and type_str.startswith("Optional"):\n        optional_fields.append(name)\noptional_fields.sort()\nprint(optional_fields)\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '{"field_name": "型名の文字列", ...} という形式の辞書'                                                                                                                                                                                                                                                                                                                                                                                +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\noptional_fields = []\nfor name, type_str in sysin.items():\n    if isinstance(type_str, str) and type_str.startswith("Optional"):\n        optional_fields.append(name)\noptional_fields.sort()\nprint(optional_fields)\n'                                                                                                                                                                                                         +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: {'note': 'Optional[str]', 'task_id': 'int', 'work_time': 'int'}, expected: ['note']- sysin: {'end_at': 'Optional[datetime]', 'last_updated_user': 'Optional[int]', 'created_at': 'datetime'}, expected: ['end_at', 'last_updated_user']- sysin: {'task_id': 'int', 'progress_value': 'int'}, expected: []                                                                                                                     | 
 10 | '\n変数 sysin には、あるレコードの作成日時と更新日時が文字列として渡されます。\nsysin は辞書で、"created_at" と "updated_at" というキーを持ち、\n値は "YYYY-MM-DD HH:MM:SS" 形式の日時文字列です。\n\ndatetime モジュールを使ってこれらを datetime 型に変換し、\nupdated_at - created_at の差分を秒数 (int) として計算し、その整数値を標準出力に print してください。\n'                                         | '\n変数 sysin には、あるレコードの作成日時と更新日時が文字列として渡されます。\nsysin は辞書で、"created_at" と "updated_at" というキーを持ち、\n値は "YYYY-MM-DD HH:MM:SS" 形式の日時文字列です。\n\ndatetime モジュールを使ってこれらを datetime 型に変換し、\nupdated_at - created_at の差分を秒数 (int) として計算し、その整数値を標準出力に print してください。\n'                                                              +| '\nfrom datetime import datetime\n\nfmt = "%Y-%m-%d %H:%M:%S"\ncreated = datetime.strptime(sysin["created_at"], fmt)\nupdated = datetime.strptime(sysin["updated_at"], fmt)\ndelta = updated - created\nprint(int(delta.total_seconds()))\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '{"created_at": "YYYY-MM-DD HH:MM:SS", "updated_at": "YYYY-MM-DD HH:MM:SS"} という辞書'                                                                                                                                                                                                                                                                                                                                               +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```python                                                                                                                                                                                                                                                                                                                                                                                                                             +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '\nfrom datetime import datetime\n\nfmt = "%Y-%m-%d %H:%M:%S"\ncreated = datetime.strptime(sysin["created_at"], fmt)\nupdated = datetime.strptime(sysin["updated_at"], fmt)\ndelta = updated - created\nprint(int(delta.total_seconds()))\n'                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | ```                                                                                                                                                                                                                                                                                                                                                                                                                                   +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Test cases]                                                                                                                                                                                                                                                                                                                                                                                                                          +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | - sysin: {'created_at': '2024-01-01 00:00:00', 'updated_at': '2024-01-01 00:00:10'}, expected: 10- sysin: {'created_at': '2024-01-01 12:00:00', 'updated_at': '2024-01-01 12:30:00'}, expected: 1800- sysin: {'created_at': '2024-01-01 00:00:00', 'updated_at': '2024-01-02 00:00:00'}, expected: 86400                                                                                                                               | 
 11 | "\n変数 sysin には整数が渡されます。\nこの値について、「0 以上であればそのまま出力し、0 未満であれば 'invalid' という文字列を出力する」処理を実装してください。\n\nこれは、対象コード中の `Field(ge=0)` による「0 以上であること」という制約の考え方を、\nシンプルな if 文による判定ロジックで再現する問題です。\n"                                                                                              | "\n変数 sysin には整数が渡されます。\nこの値について、「0 以上であればそのまま出力し、0 未満であれば 'invalid' という文字列を出力する」処理を実装してください。\n\nこれは、対象コード中の `Field(ge=0)` による「0 以上であること」という制約の考え方を、\nシンプルな if 文による判定ロジックで再現する問題です。\n"                                                                                                                   +| '\nvalue = sysin\n\nif value >= 0:\n    print(value)\nelse:\n    print("invalid")\n'
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | [Input Format]                                                                                                                                                                                                                                                                                                                                                                                                                        +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  | '整数（int）'                                                                                                                                                                                                                                                                                                                                                                                                                         +| 
    |                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                       +| 
